Fecha;Año;Medio;Posición;Artista;Canción;Nacionalidad;Género
mar-21;2021;Spotify;50;C. Tangana, Niño de Elche, La Húngara;Tú Me Dejaste De Querer;ES, ES;Pop
mar-21;2021;Spotify;51;Bad Bunny;HACIENDO QUE ME AMAS;PR;Urbano
mar-21;2021;Spotify;52;Camilo;Ropa Cara;ES;Latino/Tropical
mar-21;2021;Spotify;53;Bad Bunny;BOOKER T;PR;Urbano
mar-21;2021;Spotify;54;JHAYCO, Bad Bunny;CÓMO SE SIENTE - Remix;PR, PR;Urbano
mar-21;2021;Spotify;55;Justin Bieber, Daniel Caesar, GIVĒON;Peaches (feat. Daniel Caesar & Giveon);CA, CA, US;Pop
mar-21;2021;Spotify;56;Bizarrap, L-Gante;L-Gante: Bzrp Music Sessions, Vol.38;AR;Urbano
mar-21;2021;Spotify;57;Olivia Rodrigo;drivers license;US;Pop
mar-21;2021;Spotify;58;Camilo;Vida de Rico;ES;Latino/Tropical
mar-21;2021;Spotify;59;Jerry Di;Mi Cuarto;VE;Urbano
mar-21;2021;Spotify;60;Dua Lipa, DaBaby;Levitating (feat. DaBaby);GB, US;Pop
mar-21;2021;Spotify;61;Rauw Alejandro, Camilo;Tattoo - Remix with Camilo;PR, ES;Urbano
mar-21;2021;Spotify;62;Harry Styles;Watermelon Sugar;GB;Pop
mar-21;2021;Spotify;63;Lyanno, Rauw Alejandro, Lenny Tavárez, Maria Becerra;En Tu Cuerpo - Remix;PR, PR, PR, AR;Urbano
