rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
125,"spotify:track:2etJ67Egf7woMgOikVrlJM","Flow La Movie, Nio Garcia, Casper Magico","Travesuras","Flow La Movie, Inc.",26,142,144,"28627"
126,"spotify:track:78SeXVRJ7KCqVmOwTiFjnI","Bizarrap, NATHY PELUSO","Nathy Peluso: Bzrp Music Sessions, Vol. 36","DALE PLAY Records",33,119,122,"28434"
127,"spotify:track:017PF4Q3l4DBUiWoXk4OWT","Dua Lipa","Break My Heart","Warner Records",49,134,365,"28301"
128,"spotify:track:5bQ9rtAfOUbPmuxjPK8zDp","Rauw Alejandro","Perreo Pesau'","Sony Music Latin/Duars Entertainment",128,133,105,"28269"
129,"spotify:track:3jjujdWJ72nww5eGnfs2E7","Harry Styles","Adore You","Columbia",85,128,392,"28012"
130,"spotify:track:2vBET2pmrQqafaS6zIaYta","Black Eyed Peas, Shakira","GIRL LIKE ME","Epic",67,129,110,"27744"
131,"spotify:track:0jT8Nl0shPS8115is0wD2Q","Camilo","Favorito","Sony Music Latin",3,117,368,"27723"
132,"spotify:track:6eTCWWKBtnJI9Ui9OlLEyO","Movimiento Original, Nanpa Básico","Verte Cerquita","Movimiento Original",127,144,125,"27585"
133,"spotify:track:09HSL5vRZgxXmoSrDVKMDB","Lunay","Sin Ropa","round2media - LaFamilia",113,158,32,"27505"
134,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,126,668,"27056"
135,"spotify:track:1J14CdDAvBTE1AJYUOwl6C","Duncan Laurence","Arcade","Universal Music, a division of Universal International Music BV",130,130,10,"26961"
136,"spotify:track:56Ta1O7Jxxpjnc6cWdDKUo","Reik, Farruko, Camilo","Si Me Dices Que Sí","Sony Music México",42,140,402,"26874"
137,"spotify:track:45S5WTQEGOB1VHr1Q4FuPl","Harry Styles","Golden","Columbia",85,146,141,"26748"
138,"spotify:track:1yc7ERfIzFxPP1E0OFRvp0","CNCO","Tan Enamorados","Sony Music Latin",110,147,79,"26611"
139,"spotify:track:27uAea0qcUz3a7jKnAT7KG","Santaferia","Algún Día Volverás","Santaferia",20,102,984,"26454"
140,"spotify:track:5Jm4w8jmPEBTLjI9vH4fXo","Ozuna","Caramelo","Aura Music Corp.",3,137,291,"26380"
141,"spotify:track:0TBbNYzmtCfN5cpZSCVNIz","Nicki Nicole, Lunay","No Toque Mi Naik","Sony Music Latin/DALE PLAY Records",109,152,4,"26178"
142,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",51,145,157,"25810"
143,"spotify:track:7MIkwVS7Wm1vYTEoDPsyVS","Paloma Mami","Traumada","Sony Music Latin",47,135,11,"25644"
144,"spotify:track:7gwwt1IaAWwmB7af0AcuBM","Harry Nach","Tak Tiki Tak","Sony Music Entertainment Chile S.A",7,136,433,"25538"
145,"spotify:track:5vdp5UmvTsnMEMESIF2Ym7","Queen","Another One Bites The Dust - Remastered 2011","EMI",42,127,572,"25534"
146,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",4,138,538,"25504"
147,"spotify:track:50ZC4PM7hywH27RcCfViau","Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow","Elegí (feat. Dímelo Flow)","Sony Music Latin",3,156,368,"25396"
148,"spotify:track:0S9ZVNTNRzLMgb96tmmG1u","Rauw Alejandro","Enchule","Sony Music Latin/Duars Entertainment",28,149,191,"25350"
