Fecha;Medio;Posición;Artista + Canción;Género;Nacionalidad
mar-23;Radio;#¿NOMBRE?;Love Again por Dua Lipa;;
mar-23;Radio;#¿NOMBRE?;LEVITATING por Dua Lipa;;
mar-23;Radio;#¿NOMBRE?;Fruta Y Te por Gepe;;
mar-23;Radio;#¿NOMBRE?;Loco Feat. Romeo Santos por Enrique Iglesias;;
mar-23;Radio;#¿NOMBRE?;Wayo por Zion & Lennox;;
mar-23;Radio;#¿NOMBRE?;Music For A Sushi Restaurant por Harry Styles;;
mar-23;Radio;#¿NOMBRE?;Síntomas De Soltera por Paloma Mami, Pailita & El Jordan 23;;
mar-23;Radio;#¿NOMBRE?;One Kiss por Calvin Harris Feat Dua Lipa;;
mar-23;Radio;#¿NOMBRE?;Yandel 150 por Feid, Yandel;;
mar-23;Radio;#¿NOMBRE?;Cochinae por Julianno Sosa;;
mar-23;Radio;#¿NOMBRE?;Tu Recuerdo por Wisin, Emilia, Lyanno;;
mar-23;Radio;#¿NOMBRE?;Ulala por Daddy Yankee, Myke Towers;;
mar-23;Radio;#¿NOMBRE?;No One por Alicia Keys;;
mar-23;Radio;#¿NOMBRE?;Stay With Me por Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams SONY MUSIC ENTERTAINMENT;;
mar-23;Radio;#¿NOMBRE?;Cumbia Cumbia Cumbia por Los Vasquez;;
abr-23;Radio;#¿NOMBRE?;Shakira: Bzrp Music Sessions, Vol. 53 por Bizarrap, Shakira;;
abr-23;Radio;#¿NOMBRE?;Flowers por Cyrus, Miley;;
abr-23;Radio;#¿NOMBRE?;La Bachata por Manuel Turizo;;
abr-23;Radio;#¿NOMBRE?;Beso por Rosalía & Rauw Alejandro;;
abr-23;Radio;#¿NOMBRE?;Que Te Vaya Bien por Santa Feria Ft Zumbale Primo;;
abr-23;Radio;#¿NOMBRE?;TQG por Karol G, Shakira;;
abr-23;Radio;#¿NOMBRE?;As It Was por Harry Styles;;
abr-23;Radio;#¿NOMBRE?;Quevedo: Bzrp Music Sessions, Vol. 52 por Bizarrap;;
abr-23;Radio;#¿NOMBRE?;Perfecta (Con Julieta Venegas) por MIRANDA!;;
abr-23;Radio;#¿NOMBRE?;MERCHO por Lil Cake & Migrantes Feat. Nico Valdi;;
abr-23;Radio;#¿NOMBRE?;Anti-Hero por Taylor Swift;;
abr-23;Radio;#¿NOMBRE?;Cupido por Tini;;
abr-23;Radio;#¿NOMBRE?;Despechá por Rosalía;;
abr-23;Radio;#¿NOMBRE?;Hey Mor Feat. Feid por Ozuna;;
abr-23;Radio;#¿NOMBRE?;X SI VOLVEMOS por Karol G Ft. Romeo Santos;;
abr-23;Radio;#¿NOMBRE?;Tormenta (Feat. Bad Bunny) por Gorillaz;;
abr-23;Radio;#¿NOMBRE?;Calm Down (With Selena Gomez) por Rema, Selena Gomez;;
abr-23;Radio;#¿NOMBRE?;La Terapia por Young Cister;;
abr-23;Radio;#¿NOMBRE?;Late Night Talking por Harry Styles;;
abr-23;Radio;#¿NOMBRE?;Diablo, Que Chimba por Maluma & Anuel Aa;;
abr-23;Radio;#¿NOMBRE?;Tu Recuerdo por Wisin, Emilia, Lyanno;;
abr-23;Radio;#¿NOMBRE?;Cold Heart (PNAU Remix) por Elton John, Dua Lipa;;
abr-23;Radio;#¿NOMBRE?;LE DOY 20 MIL por El Alfa & Prince Royce;;
abr-23;Radio;#¿NOMBRE?;PROVENZA por Karol G;;
abr-23;Radio;#¿NOMBRE?;Eyes Closed por Ed Sheeran;;
